[Script Info]
; Script generated by Aegisub 3.0.4
; http://www.aegisub.org/
Title: Default Aegisub file
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 640
PlayResY: 480
ScaledBorderAndShadow: yes
Video Zoom: 6
Last Style Storage: FMA2 Types
Scroll Position: 0
Active Line: 0
Video Zoom Percent: 1

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: FMA2 Default ARA,Hacen Liner Screen Bd,40,&H00FFFFFF,&H000000FF,&H002B2B2B,&H00000000,-1,0,0,0,100,100,0,0,1,1.5,0,2,10,10,10,0
Style: FMA2 Self ARA,Hacen Liner Screen Bd,40,&H1EFFFFFF,&H000000FF,&H1E5D2200,&H00000000,-1,0,0,0,100,100,0,0,1,1.5,0,2,10,10,10,0
Style: FMA2 Before ARA,Hacen Liner Screen Bd,40,&H1EF4F4F4,&H000000FF,&H1E2B2B2B,&H00000000,-1,0,0,0,100,100,0,0,1,1.5,0,2,10,10,10,0
Style: FMA2 Upline ARA,Hacen Liner Screen Bd,40,&H00FFFFFF,&H000000FF,&H00003044,&H00000000,-1,0,0,0,100,100,0,0,1,1.5,0,2,10,10,10,0
Style: FMA2 Ed Anger ARA,Hacen Liner Screen Bd,42,&H00FFFFFF,&H000000FF,&H00000056,&H00000000,-1,0,0,0,100,100,0,0,1,1.3,0,2,10,10,10,0
Style: FMA2 Ed Anger lol ARA,Hacen Liner Screen Bd,40,&HC8E9E9E9,&H003A3129,&H1EFCFCFC,&H00000000,-1,0,0,0,100,100,0,0,1,2,0,2,10,10,10,0
Style: Screen W AR,Hacen Extender X4 Super Fit,45,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,1.2,0,2,10,10,10,1
Style: FMA2 O-E Translate ARA,Motken '3areeb,33,&H00F9F9F9,&H00C9C9C9,&H14000000,&H00000000,0,0,0,0,100,100,0,0,1,1,0,2,10,10,10,1


[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:11.13,0:00:13.94,FMA2 Default ARA,Mustang,0,0,0,,{\be1}خيميائي الجليد ؟
Dialogue: 0,0:00:14.04,0:00:14.71,FMA2 Default ARA,Fuhrer,0,0,0,,{\be1}نعم
Dialogue: 0,0:00:15.12,0:00:17.40,FMA2 Default ARA,Fuhrer,0,0,0,,{\be1}(لقد تسلل إلى (سنترال
Dialogue: 0,0:00:18.45,0:00:23.04,FMA2 Default ARA,Fuhrer,0,0,0,,{\be1}أيها العقيد [روي مستانغ] أنا أكلفك بمهمة القبض عليه
Dialogue: 0,0:00:23.25,0:00:24.22,FMA2 Default ARA,Mustang,0,0,0,,{\be1}عُلم
Dialogue: 0,0:00:24.69,0:00:28.32,FMA2 Default ARA,Fuhrer,0,0,0,,{\be1}(الحمد لله أنك في (سنترال
Dialogue: 0,0:00:28.32,0:00:30.04,FMA2 Default ARA,Fuhrer,0,0,0,,{\be1}يمكنني ترك القضية لك والاسترخاء
Dialogue: 0,0:00:30.98,0:00:34.13,FMA2 Default ARA,Fuhrer,0,0,0,,{\be1}وأيضاً، ذاك الفتى موجود هنا
Dialogue: 0,0:00:34.13,0:00:35.79,FMA2 Default ARA,Fuhrer,0,0,0,,{\be1}استفد منه كما تشاء
Dialogue: 0,0:00:36.29,0:00:39.51,FMA2 Default ARA,Mustang,0,0,0,,{\be1}قائد [برادلي]، بقولك "ذلك الفتى" هل تعني .. ؟
Dialogue: 0,0:00:39.76,0:00:44.22,FMA2 Default ARA,Fuhrer,0,0,0,,{\be1}[نعم، الخيميائي المعدني، [إدوارد إلريك
Dialogue: 0,0:00:44.96,0:00:48.22,FMA2 Default ARA,Ed,0,0,0,,{\be1}يا رجل، ذلك العقيد قاسٍ حقاً في توجهيه لجنوده
Dialogue: 0,0:00:48.73,0:00:52.47,FMA2 Default ARA,Al,0,0,0,,{\be1}مع أننا اشترينا تذاكر (ليور) أخيراً، يبدو أننا سنلغي الخطة
Dialogue: 0,0:00:52.82,0:00:54.82,FMA2 Default ARA,Ed,0,0,0,,{\be1}ما باليد حيلة
